Episode no = 10; won: False; Q(s,a) = nan; reward = -455.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-04-29 08:35:40
Episode no = 20; won: False; Q(s,a) = -0.5116235417648706; reward = -488.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-04-29 08:35:51
Episode no = 30; won: False; Q(s,a) = nan; reward = -446.0; and epsilon = 0.996, win percentage = 0.0, 2022-04-29 08:35:59
Episode no = 40; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-04-29 08:36:05
Episode no = 50; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-04-29 08:36:15
Episode no = 60; won: False; Q(s,a) = nan; reward = -477.0; and epsilon = 0.992, win percentage = 0.0, 2022-04-29 08:36:25
Episode no = 70; won: False; Q(s,a) = 0.40614021537467837; reward = -415.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-04-29 08:36:36
Episode no = 80; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-04-29 08:36:42
Episode no = 90; won: False; Q(s,a) = -0.6082309812342372; reward = -411.0; and epsilon = 0.988, win percentage = 0.0, 2022-04-29 08:36:54
Episode no = 100; won: False; Q(s,a) = 0.7948757802682107; reward = -475.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-04-29 08:37:11
Episode no = 110; won: False; Q(s,a) = nan; reward = -458.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-04-29 08:37:24
Episode no = 120; won: False; Q(s,a) = -1.4455445128544242; reward = -423.0; and epsilon = 0.984, win percentage = 0.0, 2022-04-29 08:37:34
Episode no = 130; won: False; Q(s,a) = 5.840977268272997; reward = -489.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-04-29 08:37:41
Episode no = 140; won: False; Q(s,a) = nan; reward = -465.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-04-29 08:37:50
Episode no = 150; won: False; Q(s,a) = 0.290156108721622; reward = -468.0; and epsilon = 0.98, win percentage = 0.0, 2022-04-29 08:37:58
Episode no = 160; won: False; Q(s,a) = -1.167996186343607; reward = -374.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-04-29 08:38:10
Episode no = 170; won: False; Q(s,a) = 5.880989601578224; reward = -488.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-04-29 08:38:15
Episode no = 180; won: False; Q(s,a) = nan; reward = -498.0; and epsilon = 0.976, win percentage = 0.0, 2022-04-29 08:38:26
Episode no = 190; won: False; Q(s,a) = 2.1984485310237067; reward = -412.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-04-29 08:38:33
Episode no = 200; won: False; Q(s,a) = 5.512528362373774; reward = -452.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-04-29 08:38:41
Episode no = 210; won: False; Q(s,a) = 20.43528119924832; reward = -481.0; and epsilon = 0.972, win percentage = 0.0, 2022-04-29 08:38:51
Episode no = 220; won: False; Q(s,a) = nan; reward = -481.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-04-29 08:39:10
Episode no = 230; won: False; Q(s,a) = 21.16162384912794; reward = -441.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2022-04-29 08:39:18
Episode no = 240; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.968, win percentage = 0.0, 2022-04-29 08:39:26
Episode no = 250; won: False; Q(s,a) = nan; reward = -493.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-04-29 08:39:37
Episode no = 260; won: False; Q(s,a) = 7.068244685749197; reward = -441.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-04-29 08:39:49
Episode no = 270; won: False; Q(s,a) = -0.3057383367158365; reward = -412.0; and epsilon = 0.964, win percentage = 0.0, 2022-04-29 08:39:58
Episode no = 280; won: False; Q(s,a) = 17.342243687584762; reward = -441.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-04-29 08:40:09
Episode no = 290; won: False; Q(s,a) = 9.131210197391777; reward = -386.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-04-29 08:40:24
Episode no = 300; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.96, win percentage = 0.0, 2022-04-29 08:40:37
Episode no = 310; won: False; Q(s,a) = 17.330472399636083; reward = -481.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-04-29 08:40:48
Episode no = 320; won: False; Q(s,a) = nan; reward = -416.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-04-29 08:40:58
Episode no = 330; won: False; Q(s,a) = nan; reward = -482.0; and epsilon = 0.956, win percentage = 0.0, 2022-04-29 08:41:05
Episode no = 340; won: False; Q(s,a) = 18.84107083088661; reward = -433.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2022-04-29 08:41:17
Episode no = 350; won: False; Q(s,a) = nan; reward = -452.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2022-04-29 08:41:25
Episode no = 360; won: False; Q(s,a) = 26.147157188815598; reward = -459.0; and epsilon = 0.952, win percentage = 0.0, 2022-04-29 08:41:34
Episode no = 370; won: False; Q(s,a) = 13.478854910090906; reward = -368.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2022-04-29 08:41:43
Episode no = 380; won: False; Q(s,a) = 23.32117448993685; reward = -467.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2022-04-29 08:41:52
Episode no = 390; won: False; Q(s,a) = 27.541052003521457; reward = -502.0; and epsilon = 0.948, win percentage = 0.0, 2022-04-29 08:42:02
Episode no = 400; won: False; Q(s,a) = 24.845361254193037; reward = -444.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2022-04-29 08:42:14
Episode no = 410; won: False; Q(s,a) = nan; reward = -477.0; and epsilon = 0.9453333333333334, win percentage = 0.0, 2022-04-29 08:42:24
Episode no = 420; won: False; Q(s,a) = 30.0902430369564; reward = -512.0; and epsilon = 0.944, win percentage = 0.0, 2022-04-29 08:42:36
Episode no = 430; won: False; Q(s,a) = nan; reward = -467.0; and epsilon = 0.9426666666666667, win percentage = 0.0, 2022-04-29 08:42:46
Episode no = 440; won: False; Q(s,a) = 30.11240942618062; reward = -478.0; and epsilon = 0.9413333333333334, win percentage = 0.0, 2022-04-29 08:42:55
Episode no = 450; won: False; Q(s,a) = 14.686783919301146; reward = -422.0; and epsilon = 0.94, win percentage = 0.0, 2022-04-29 08:43:11
Episode no = 460; won: False; Q(s,a) = 29.546166561455454; reward = -455.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2022-04-29 08:43:22
Episode no = 470; won: False; Q(s,a) = 32.94820052511067; reward = -451.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2022-04-29 08:43:32
Episode no = 480; won: False; Q(s,a) = 32.44447100732578; reward = -443.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2022-04-29 08:43:46
Episode no = 490; won: False; Q(s,a) = 36.186203475971965; reward = -410.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2022-04-29 08:43:58
Episode no = 500; won: False; Q(s,a) = 20.53283018640486; reward = -426.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2022-04-29 08:44:10
Episode no = 510; won: False; Q(s,a) = 29.66560245939155; reward = -498.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2022-04-29 08:44:16
Episode no = 520; won: False; Q(s,a) = 40.39527388687661; reward = -382.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2022-04-29 08:44:26
Episode no = 530; won: False; Q(s,a) = 38.455727194215825; reward = -160.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2022-04-29 08:44:40
Episode no = 540; won: False; Q(s,a) = 38.90426065357298; reward = -469.0; and epsilon = 0.928, win percentage = 0.0, 2022-04-29 08:44:50
Episode no = 550; won: False; Q(s,a) = 14.381026475310954; reward = -425.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2022-04-29 08:45:09
Episode no = 560; won: False; Q(s,a) = nan; reward = -494.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2022-04-29 08:45:16
Episode no = 570; won: False; Q(s,a) = 36.11457874829768; reward = -439.0; and epsilon = 0.924, win percentage = 0.0, 2022-04-29 08:45:24
Episode no = 580; won: False; Q(s,a) = 26.80791711762383; reward = -419.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2022-04-29 08:45:34
Episode no = 590; won: False; Q(s,a) = 32.27367064157823; reward = -339.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2022-04-29 08:45:43
Episode no = 600; won: False; Q(s,a) = 31.152502109294417; reward = -451.0; and epsilon = 0.92, win percentage = 0.0, 2022-04-29 08:45:58
Episode no = 610; won: False; Q(s,a) = 7.2534463156205815; reward = -285.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2022-04-29 08:46:07
Episode no = 620; won: False; Q(s,a) = 42.382218773206894; reward = -448.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2022-04-29 08:46:17
Episode no = 630; won: False; Q(s,a) = 41.553750518161046; reward = -476.0; and epsilon = 0.916, win percentage = 0.0, 2022-04-29 08:46:25
Episode no = 640; won: False; Q(s,a) = 43.858792257505854; reward = -412.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2022-04-29 08:46:34
Episode no = 650; won: False; Q(s,a) = 42.769900923467475; reward = -391.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2022-04-29 08:46:42
Episode no = 660; won: False; Q(s,a) = 43.11331107695478; reward = -479.0; and epsilon = 0.912, win percentage = 0.0, 2022-04-29 08:46:51
Episode no = 670; won: False; Q(s,a) = 46.41543455329269; reward = -477.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2022-04-29 08:46:58
Episode no = 680; won: False; Q(s,a) = 30.193045497299067; reward = -481.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2022-04-29 08:47:08
Episode no = 690; won: False; Q(s,a) = 49.206013895171495; reward = -435.0; and epsilon = 0.908, win percentage = 0.0, 2022-04-29 08:47:15
Episode no = 700; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2022-04-29 08:47:23
Episode no = 710; won: False; Q(s,a) = 41.17019559146238; reward = -503.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2022-04-29 08:47:37
Episode no = 720; won: False; Q(s,a) = 50.6493222737532; reward = -388.0; and epsilon = 0.904, win percentage = 0.0, 2022-04-29 08:47:50
Episode no = 730; won: False; Q(s,a) = 51.81683586192217; reward = -404.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2022-04-29 08:48:07
Episode no = 740; won: False; Q(s,a) = 39.378868495778136; reward = -470.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2022-04-29 08:48:15
Episode no = 750; won: False; Q(s,a) = 50.16577766849998; reward = -455.0; and epsilon = 0.9, win percentage = 0.0, 2022-04-29 08:48:29
Episode no = 760; won: False; Q(s,a) = 44.15818339901173; reward = -494.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2022-04-29 08:48:35
Episode no = 770; won: False; Q(s,a) = 50.28314212350508; reward = -448.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2022-04-29 08:48:43
Episode no = 780; won: False; Q(s,a) = 55.338407748357554; reward = -473.0; and epsilon = 0.896, win percentage = 0.0, 2022-04-29 08:48:53
Episode no = 790; won: False; Q(s,a) = 52.33172957286912; reward = -339.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2022-04-29 08:49:02
Episode no = 800; won: False; Q(s,a) = nan; reward = -492.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2022-04-29 08:49:15
Episode no = 810; won: False; Q(s,a) = 59.092202422274944; reward = -419.0; and epsilon = 0.892, win percentage = 0.0, 2022-04-29 08:49:25
Episode no = 820; won: False; Q(s,a) = 54.10332672416274; reward = -451.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2022-04-29 08:49:33
Episode no = 830; won: False; Q(s,a) = 55.51883645252539; reward = -486.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2022-04-29 08:49:43
Episode no = 840; won: False; Q(s,a) = 54.49818143400782; reward = -445.0; and epsilon = 0.888, win percentage = 0.0, 2022-04-29 08:49:48
Episode no = 850; won: False; Q(s,a) = 54.9303513405473; reward = -261.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2022-04-29 08:50:04
Episode no = 860; won: False; Q(s,a) = 49.72817931102311; reward = -372.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2022-04-29 08:50:13
Episode no = 870; won: False; Q(s,a) = 59.92997971949979; reward = -445.0; and epsilon = 0.884, win percentage = 0.0, 2022-04-29 08:50:28
Episode no = 880; won: False; Q(s,a) = 57.46645331029006; reward = -439.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2022-04-29 08:50:38
Episode no = 890; won: False; Q(s,a) = 46.504136777654416; reward = -477.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2022-04-29 08:50:48
Episode no = 900; won: False; Q(s,a) = 43.1699952807378; reward = -446.0; and epsilon = 0.88, win percentage = 0.0, 2022-04-29 08:50:59
Episode no = 910; won: False; Q(s,a) = 62.49666657668266; reward = -302.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2022-04-29 08:51:07
Episode no = 920; won: False; Q(s,a) = 52.383612582809675; reward = -458.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2022-04-29 08:51:15
Episode no = 930; won: False; Q(s,a) = 58.8589228163684; reward = -486.0; and epsilon = 0.876, win percentage = 0.0, 2022-04-29 08:51:20
Episode no = 940; won: False; Q(s,a) = 62.303540242819054; reward = -449.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2022-04-29 08:51:30
Episode no = 950; won: False; Q(s,a) = 44.51559182474753; reward = -370.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2022-04-29 08:51:42
Episode no = 960; won: False; Q(s,a) = 65.64154478423092; reward = -465.0; and epsilon = 0.872, win percentage = 0.0, 2022-04-29 08:51:59
Episode no = 970; won: False; Q(s,a) = 64.12698787438758; reward = -406.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2022-04-29 08:52:18
Episode no = 980; won: False; Q(s,a) = 63.73470820458263; reward = -445.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2022-04-29 08:52:29
Episode no = 990; won: False; Q(s,a) = 60.41104060783382; reward = -390.0; and epsilon = 0.868, win percentage = 0.0, 2022-04-29 08:52:40
Episode no = 1000; won: False; Q(s,a) = 61.11291061816712; reward = -444.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2022-04-29 08:53:00
Episode no = 1010; won: False; Q(s,a) = 67.54449432150405; reward = -398.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2022-04-29 08:53:10
Episode no = 1020; won: False; Q(s,a) = 57.17488799051985; reward = -449.0; and epsilon = 0.864, win percentage = 0.0, 2022-04-29 08:53:20
Episode no = 1030; won: False; Q(s,a) = 49.40507707663898; reward = -354.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2022-04-29 08:53:29
Episode no = 1040; won: False; Q(s,a) = 59.77821160069079; reward = -450.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2022-04-29 08:53:42
Episode no = 1050; won: False; Q(s,a) = 57.08700212781554; reward = -468.0; and epsilon = 0.86, win percentage = 0.0, 2022-04-29 08:53:50
Episode no = 1060; won: False; Q(s,a) = 68.02882524858292; reward = -447.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2022-04-29 08:54:05
Episode no = 1070; won: False; Q(s,a) = 67.76134599337728; reward = -378.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2022-04-29 08:54:16
Episode no = 1080; won: False; Q(s,a) = 59.91152988288726; reward = -357.0; and epsilon = 0.856, win percentage = 0.0, 2022-04-29 08:54:29
Episode no = 1090; won: False; Q(s,a) = 59.58693196887882; reward = -432.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2022-04-29 08:54:35
Episode no = 1100; won: False; Q(s,a) = 54.63369500279282; reward = -459.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2022-04-29 08:54:44
Episode no = 1110; won: False; Q(s,a) = 68.12171714876581; reward = -475.0; and epsilon = 0.852, win percentage = 0.0, 2022-04-29 08:54:51
Episode no = 1120; won: False; Q(s,a) = 38.34038202155124; reward = -442.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2022-04-29 08:55:03
Episode no = 1130; won: False; Q(s,a) = 61.20056192368543; reward = -478.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2022-04-29 08:55:11
Episode no = 1140; won: False; Q(s,a) = 72.98525673681678; reward = -374.0; and epsilon = 0.848, win percentage = 0.0, 2022-04-29 08:55:29
Episode no = 1150; won: False; Q(s,a) = 62.840481844100935; reward = -411.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2022-04-29 08:55:41
Episode no = 1160; won: False; Q(s,a) = 73.68501794619166; reward = -405.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2022-04-29 09:10:30
Episode no = 1170; won: False; Q(s,a) = 60.63755417782313; reward = -468.0; and epsilon = 0.844, win percentage = 0.0, 2022-04-29 09:10:35
Episode no = 1180; won: False; Q(s,a) = 28.102186969892987; reward = -428.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2022-04-29 09:10:43
Episode no = 1190; won: False; Q(s,a) = 73.90021982524244; reward = -346.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2022-04-29 09:10:54
Episode no = 1200; won: False; Q(s,a) = 73.20404981388667; reward = -472.0; and epsilon = 0.84, win percentage = 0.0, 2022-04-29 09:11:07
Episode no = 1210; won: False; Q(s,a) = 73.38756813252594; reward = -285.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2022-04-29 09:11:23
Episode no = 1220; won: False; Q(s,a) = 64.50582566891795; reward = -447.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2022-04-29 09:11:34
Episode no = 1230; won: False; Q(s,a) = 68.95271052429918; reward = -298.0; and epsilon = 0.836, win percentage = 0.0, 2022-04-29 09:11:43
Episode no = 1240; won: False; Q(s,a) = 70.14103880647396; reward = -480.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2022-04-29 09:11:56
Episode no = 1250; won: False; Q(s,a) = 69.90293577832304; reward = -458.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2022-04-29 09:12:06
Episode no = 1260; won: False; Q(s,a) = 63.04910178536318; reward = -436.0; and epsilon = 0.832, win percentage = 0.0, 2022-04-29 09:12:16
Episode no = 1270; won: False; Q(s,a) = 75.10362969078126; reward = -291.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2022-04-29 09:12:27
Episode no = 1280; won: False; Q(s,a) = 71.83229882695626; reward = -330.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2022-04-29 09:12:38
Episode no = 1290; won: False; Q(s,a) = 69.02855729125073; reward = -406.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2022-04-29 09:12:52
